Date,FMWB/Trend/Range?,Valid M/W/FD,Move %,Peak High/Low Day for the move?,Session for the opposite side of the M/W/FD trend?,Valid 50EMA retest entry on 15M TF?,Confluence with BBWP below 35?,3 Levels completed on 15M TF?,Valid 50EMA retest entry on 1H TF?,Confluence with BBWP below 35?,3 levels on 1H TF?,Reversal SVC?,,,,,,,,,,,,,,,
2025-08-18 00:00:00,NA,NA,,,,,,,,,,,Possibly becasue of ATH - Continued to Trend back down,,,,,,,,,,,,,,
2025-08-11 00:00:00,FMWB,M (Not typical),0.0358,Monday,Asia,0.0,NA,0.0,0.0,NA,0.0,1.0,,,,,,,,,,,,,,,
2025-08-04 00:00:00,FMWB,FDM,0.0268,Monday,US,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2025-07-28 00:00:00,Trend ,FDM,0.0599,Monday,Asia,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
2025-07-21 00:00:00,FMWB,M,0.0322,Monday,UK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2025-07-14 00:00:00,FMWB,NA,0.0616,Monday,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2025-07-07 00:00:00,FMVB,M,0.0209,Monday,Asia,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2025-06-30 00:00:00,FDM,FDM,0.0384,Wednesday,Asia,1.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
2025-06-23 00:00:00,W,W,0.0874,Monday,US,0.0,NA,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,
2025-06-16 00:00:00,NA,NA,0.0379,Monday,DGZ,0.0,NA,NA,,,,,,,,,,,,,,,,,,,
2025-06-09 00:00:00,NA,NA,0.05,Monday,US,0.0,0.0,,,,,,,,,,,,,,,,,,,,
