Date,Aggressive move Asia end/Start of UK?,Opposite trend created?,Repeat lvl of aggrsive move?,What did US do?,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 00:00:00,0.0,1.0,1.0,Trend Up,FOMC Week,,,,,,,,,,,,,,,,,,,,,
2025-08-08 00:00:00,0.0,0.0,0.0,Reverse Trend,Near All Time Highs Fridays DID NOT BEHAVE TYPICALLY,,,,,,,,,,,,,,,,,,,,,
2025-08-08 00:00:00,0.0,0.0,0.0,Range,Near All Time Highs Fridays DID NOT BEHAVE TYPICALLY,,,,,,,,,,,,,,,,,,,,,
2025-08-01 00:00:00,1.0,1.0,1.0,Continue Trend,,,,,,,,,,,,,,,,,,,,,,
2025-07-25 00:00:00,1.0,1.0,1.0,Reverse Trend,,,,,,,,,,,,,,,,,,,,,,
2025-07-18 00:00:00,1.0,1.0,0.0,Continue Trend,,,,,,,,,,,,,,,,,,,,,,
2025-07-11 00:00:00,1.0,1.0,1.0,Range,,,,,,,,,,,,,,,,,,,,,,
2025-07-04 00:00:00,1.0,1.0,1.0,Continue Trend,,,,,,,,,,,,,,,,,,,,,,
2025-06-27 00:00:00,1.0,1.0,1.0,Range,,,,,,,,,,,,,,,,,,,,,,
2025-06-20 00:00:00,1.0,1.0,0.0,Reverse Trend,,,,,,,,,,,,,,,,,,,,,,
2025-06-13 00:00:00,1.0,1.0,1.0,Range,,,,,,,,,,,,,,,,,,,,,,
2025-06-06 00:00:00,1.0,0.0,0.0,Reverse Trend,,,,,,,,,,,,,,,,,,,,,,
2025-05-30 00:00:00,1.0,1.0,1.0,Teend Down,,,,,,,,,,,,,,,,,,,,,,
2025-05-23 00:00:00,0.0,0.0,0.0,Trend Down,,,,,,,,,,,,,,,,,,,,,,
2025-05-16 00:00:00,1.0,1.0,1.0,Range,,,,,,,,,,,,,,,,,,,,,,
2025-05-09 00:00:00,1.0,1.0,0.0,range,,,,,,,,,,,,,,,,,,,,,,
2023-12-05 00:00:00,1.0,1.0,1.0,Trend dwon,,,,,,,,,,,,,,,,,,,,,,
2023-05-05 00:00:00,0.0,0.0,0.0,Trend up,,,,,,,,,,,,,,,,,,,,,,
28/04/2023,1.0,0.0,1.0,Range,,,,,,,,,,,,,,,,,,,,,,
21/04/2023,1.0,1.0,1.0,Trend down,,,,,,,,,,,,,,,,,,,,,,
14/04/2023,1.0,1.0,1.0,Trend down,,,,,,,,,,,,,,,,,,,,,,
2023-07-04 00:00:00,1.0,1.0,0.0,Range,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 00:00:00,1.0,1.0,0.0,range,,,,,,,,,,,,,,,,,,,,,,
=A24-7,1.0,0.0,1.0,Contrinue trend,,,,,,,,,,,,,,,,,,,,,,
=A25-7,0.0,0.0,0.0,Trend,,,,,,,,,,,,,,,,,,,,,,
=A26-7,1.0,1.0,1.0,range,,,,,,,,,,,,,,,,,,,,,,
=A27-7,0.0,0.0,0.0,range,,,,,,,,,,,,,,,,,,,,,,
=A28-7,1.0,1.0,1.0,Reverse trend,,,,,,,,,,,,,,,,,,,,,,
=A29-7,0.0,0.0,0.0,trend up,,,,,,,,,,,,,,,,,,,,,,
=A30-7,1.0,1.0,1.0,Trend Down,,,,,,,,,,,,,,,,,,,,,,
=A31-7,1.0,1.0,1.0,Ranged,,,,,,,,,,,,,,,,,,,,,,
=A32-7,0.0,0.0,0.0,Trend Up then reverse,,,,,,,,,,,,,,,,,,,,,,
=A33-7,0.0,0.0,0.0,Trend Up,,,,,,,,,,,,,,,,,,,,,,
=A34-7,0.0,0.0,0.0,Trend Up,,,,,,,,,,,,,,,,,,,,,,
=A35-7,1.0,1.0,1.0,Trend Up,,,,,,,,,,,,,,,,,,,,,,
=A36-7,1.0,0.0,0.0,Trend up,,,,,,,,,,,,,,,,,,,,,,
=A37-7,0.0,0.0,0.0,Range,,,,,,,,,,,,,,,,,,,,,,
=A38-7,1.0,0.0,0.0,Trend Down,,,,,,,,,,,,,,,,,,,,,,
=A39-7,,,,,,,,,,,,,,,,,,,,,,,,,,
=A40-7,,,,,,,,,,,,,,,,,,,,,,,,,,
=A41-7,,,,,,,,,,,,,,,,,,,,,,,,,,
