Date,Break of ILOD?,Break of IHOD?,Was there a trend b4 the news event?,Trend continuation post news?,Trend reversal post news?,US conitnued trend?,Us reversed trend?,US ranged?,News name?,,,,,,,,,,,,,,,,,,
2025-08-22 00:00:00,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,President Trump Speaks,,,,,,,,,,,,,,,,,,
2025-08-22 00:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,"Flash Manufacturing PMI, Flash Services PMI",,,,,,,,,,,,,,,,,,
2025-08-22 00:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Unemployment Claims,,,,,,,,,,,,,,,,,,
2025-08-21 00:00:00,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,FOMC Meeting Minutes,,,,,,,,,,,,,,,,,,
2025-08-15 00:00:00,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,"Prelim UoM Consumer Sentiment, Prelim UoM Inflation Expectations",,,,,,,,,,,,,,,,,,
2025-08-15 00:00:00,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,"Core Retail Sales m/m, Retail Sales m/m",,,,,,,,,,,,,,,,,,
2025-08-14 00:00:00,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,"Core PPI m/m, PPI m/m, Unemployment Claims",,,,,,,,,,,,,,,,,,
2025-08-12 00:00:00,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,"Core CPI m/m, CPI m/m, CPI y/y",,,,,,,,,,,,,,,,,,
2025-08-07 00:00:00,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,Unemployment Claims,,,,,,,,,,,,,,,,,,
2025-08-05 00:00:00,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,ISM Services PMI,,,,,,,,,,,,,,,,,,
2025-08-01 00:00:00,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,ISM Manufacturing PMI,,,,,,,,,,,,,,,,,,
2025-08-01 00:00:00,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"Average Hourly Earnings m/m, Non-Farm Employment Change, Unemployment Rate",,,,,,,,,,,,,,,,,,
2025-07-31 00:00:00,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,"Core PCE Price Index m/m. Employment Cost Index q/q, Unemployment Claims",,,,,,,,,,,,,,,,,,
2025-07-30 00:00:00,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,FOMC Press Conference,,,,,,,,,,,,,,,,,,
2025-07-30 00:00:00,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,"Federal Funds Rate, FOMC Statement",,,,,,,,,,,,,,,,,,
2025-07-30 00:00:00,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,Advance GDP q/q,,,,,,,,,,,,,,,,,,
2025-07-30 00:00:00,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,ADP Non-Farm Employment Change,,,,,,,,,,,,,,,,,,
2025-07-29 00:00:00,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,JOLTS Job Openings,,,,,,,,,,,,,,,,,,
2025-07-24 00:00:00,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,"Flash Manufacturing PMI, Flash Services PMI",,,,,,,,,,,,,,,,,,
2025-07-24 00:00:00,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,Unemployment Claims,,,,,,,,,,,,,,,,,,
2025-07-17 00:00:00,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,"Core Retail Sales m/m, Retail Sales m/m, Unemployment Claims",,,,,,,,,,,,,,,,,,
2025-07-16 00:00:00,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,"Core PPI m/m, PPI m/m",,,,,,,,,,,,,,,,,,
2025-07-15 00:00:00,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,"Core CPI m/m, CPI m/m, CPI y/y",,,,,,,,,,,,,,,,,,
2025-07-10 00:00:00,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Unemployment Claims,,,,,,,,,,,,,,,,,,
2025-07-09 00:00:00,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,FOMC Meeting Minutes,,,,,,,,,,,,,,,,,,
2025-07-03 00:00:00,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,ISM Services PMI,,,,,,,,,,,,,,,,,,
2025-07-03 00:00:00,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,"Average Hourly Earnings m/m, Non-Farm Employment Change, Unemployment Rate",,,,,,,,,,,,,,,,,,
2025-07-02 00:00:00,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,ADP Non-Farm Employment Change,,,,,,,,,,,,,,,,,,
2025-07-01 00:00:00,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,"ISM Manufacturing PMI, JOLTS Job Openings",,,,,,,,,,,,,,,,,,
2025-07-01 00:00:00,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Fed Chair Powell Speaks,,,,,,,,,,,,,,,,,,
2025-06-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Core PCE Price Index m/m,,,,,,,,,,,,,,,,,,
2025-06-26 00:00:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,"Final GDP q/q, Unemployment Claims",,,,,,,,,,,,,,,,,,
2025-06-25 00:00:00,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,Fed Chair Powell Testifies,,,,,,,,,,,,,,,,,,
2025-06-24 00:00:00,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Fed Chair Powell Testifies,,,,,,,,,,,,,,,,,,
2025-06-23 00:00:00,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,"Flash Manufacturing PMI, Flash Services PMI",,,,,,,,,,,,,,,,,,
2025-06-22 00:00:00,na,na,na,na,na,na,na,na,President Trump Speaks (Tarrif announcement with China),,,,,,,,,,,,,,,,,,
2025-06-18 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,FOMC Press Conference,,,,,,,,,,,,,,,,,,
2025-06-18 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"Federal Funds Rate, FOMC Economic, Projections, FOMC Statement",,,,,,,,,,,,,,,,,,
2025-06-18 00:00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Unemployment Claims,,,,,,,,,,,,,,,,,,
2025-06-17 00:00:00,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,"Core Retail Sales m/m, Retail Sales m/m",,,,,,,,,,,,,,,,,,
2025-06-13 00:00:00,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,"Prelim UoM Consumer Sentiment, Prelim UoM Inflation Expectations",,,,,,,,,,,,,,,,,,
2025-06-12 00:00:00,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,"Core PPI m/m, PPI m/m, Unemployment Claims",,,,,,,,,,,,,,,,,,
2025-06-11 00:00:00,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,"Core CPI m/m, CPI m/m, CPI y/y",,,,,,,,,,,,,,,,,,
2025-06-06 00:00:00,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,"Average Hourly Earnings m/m, Non-Farm Employment, Change, Unemployment Rate",,,,,,,,,,,,,,,,,,
2025-06-05 00:00:00,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Unemployment Claims,,,,,,,,,,,,,,,,,,
2025-06-04 00:00:00,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ISM Services PMI,,,,,,,,,,,,,,,,,,
2025-06-04 00:00:00,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ADP Non-Farm Employment Change,,,,,,,,,,,,,,,,,,
