Date,TV Link,Break of Firday's Low?,Break of Friday's High?,Trend formed up or down?,SVC Present?,M/W/FD,Weekends Move % prior to reversal,Trend Reversal?,M/W/FD for FMWB?,LIQ Levels Short (15M),LIQ Levels Long (15M),MM PSVRA Short Candles (1H),MM PSVRA Long Candles (1h),,,,,,,,,,,
2025-08-16 00:00:00,Link,0.0,0.0,Range,0.0,NA,0.0138,1.0,NA (Possible but I wouldn't have picked it at the time of),,,,,,,,,,,,,,,
2025-08-09 00:00:00,Link,0.0,1.0,Trend Up,0.0,NA,0.0237,0.0,NA,,,,,,,,,,,,,,,
2025-08-02 00:00:00,Link,1.0,0.0,Range,1.0,FDW,0.0253,1.0,W,,,,,,,,,,,,,,,
2025-07-26 00:00:00,Link,0.0,1.0,Trend Up,0.0,NA,0.0244,1.0,NA,,,,,,,,,,,,,,,
2025-07-19 00:00:00,Link,0.0,0.0,Range,0.0,NA,0.0139,0.0,NA,,,,,,,,,,,,,,,
2025-07-12 00:00:00,Link,0.0,1.0,Range,0.0,NA,0.0241,1.0,NA,,,,,,,,,,,,,,,
2025-07-05 00:00:00,Link,0.0,0.0,Range,0.0,NA,0.0129,0.0,NA,,,,,,,,,,,,,,,
2025-06-28 00:00:00,Link,0.0,1.0,Up,0.0,FDM,0.0162,1.0,NA,,,,,,,,,,,,,,,
2025-06-21 00:00:00,Link,1.0,0.0,Down,1.0,FDW,0.0561,1.0,FDW,,,,,,,,,,,,,,,
2025-06-14 00:00:00,Link,0.0,1.0,Range,0.0,NA,0.0181,0.0,NA,,,,,,,,,,,,,,,
2025-06-09 00:00:00,Link,0.0,1.0,Up,0.0,NA,0.0229,0.0,NA,,,0.0,0.0,,,,,,,,,,,
2025-05-31 00:00:00,Link,1.0,0.0,Up,0.0,W,0.0215,0.0,FDM,,,,,,,,,,,,,,,
2025-05-24 00:00:00,Link,1.0,0.0,Down,0.0,FDW,0.0271,1.0,FDW,,,2.0,,,,,,,,,,,,
2025-05-17 00:00:00,Link,1.0,1.0,Up,1.0,W,0.0336,1.0,FDM,,,,3.0,,,,,,,,,,,
2025-05-10 00:00:00,Link,0.0,1.0,Up,0.0,NA,0.0215,0.0,NA,,,,,,,,,,,,,,,
2025-05-03 00:00:00,Link,1.0,0.0,Down,0.0,NA,0.02,0.0,NA,,,,,,,,,,,,,,,
2023-06-05 00:00:00,Link,1.0,0.0,Down,0.0,FDM,0.05,0.0,M,5.0,3.0,5.0,1.0,,,,,,,,,,,
29/04/2023,Link,0.0,1.0,Up,1.0,W,0.0318,1.0,FDM,1.0,4.0,2.0,4.0,,,,,,,,,,,
22/04/2023,Link,0.0,0.0,Range,0.0,NA,0.013,0.0,M,0.0,1.0,3.0,2.0,,,,,,,,,,,
15/04/2023,Link,0.0,0.0,Range,1.0,NA,0.0139,1.0,FDM,1.0,0.0,4.0,1.0,,,,,,,,,,,
2023-08-04 00:00:00,Link,0.0,1.0,Range,1.0,W,0.012,0.0,W,0.0,8.0,3.0,5.0,,,,,,,,,,,
2023-04-01 00:00:00,Link,0.0,1.0,down,1.0,M,0.0333,0.0,FDW,5.0,2.0,3.0,2.0,,,,,,,,,,,
=A23-7,Link,0.0,0.0,Up,0.0,FDW,0.0375,1.0,1.0,0.0,11.0,2.0,7.0,,,,,,,,,,,
=A24-7,Link,0.0,1.0,1.0,0.0,W,0.0677,1.0,FDM,8.0,18.0,1.0,6.0,,,,,,,,,,,
=A25-7,Link,0.0,1.0,up,1.0,W,0.14,1.0,M,7.0,35.0,1.0,5.0,,,,,,,,,,,
=A26-7,Link,0.0,0.0,range,1.0,M,0.01,0.0,0.0,0.0,2.0,3.0,5.0,,,,,,,,,,,
=A27-7,Link,1.0,0.0,up,1.0,FDW,0.0516,0.0,0.0,3.0,8.0,4.0,3.0,,,,,,,,,,,
=A28-7,Link,0.0,1.0,up,0.0,FDM,0.03,1.0,FDW,6.0,4.0,2.0,4.0,,,,,,,,,,,
=A29-7,Link,0.0,1.0,up,0.0,RRU,0.0216,1.0,M,0.0,9.0,1.0,5.0,,,,,,,,,,,
=A30-7,Link,1.0,0.0,Down,1.0,FDM,3.54,1.0,W,4.0,0.0,4.0,3.0,,,,,,,,,,,
=A31-7,Link,0.0,1.0,Up,1.0,W,4.74,1.0,M,2.0,1.0,2.0,5.0,,,,,,,,,,,
=A32-7,Link,0.0,1.0,Down,0.0,FDM,0.045,1.0,W,Not Avail from this date,,3.0,3.0,This week was more of a range TBH,,,,,,,,,,
=A33-7,Link,0.0,1.0,Up,1.0,FDW,0.06,1.0,FDM,Not Avail from this date,,2.0,2.0,This Weekend is more of a range again,,,,,,,,,,
=A34-7,Link,0.0,1.0,Range,0.0,NA,0.0046,0.0,RRD,Not Avail from this date,,4.0,2.0,,,,,,,,,,,
=A35-7,Link,0.0,0.0,Range,0.0,W,0.0091,0.0,W,Not Avail from this date,,2.0,3.0,This whole week is basically a range. Most people on holidays.,,,,,,,,,,
=A36-7,Link,1.0,0.0,Range,1.0,W,0.0084,1.0,W,Not Avail from this date,,2.0,3.0,,,,,,,,,,,
=A37-7,Link,0.0,0.0,Range,0.0,FDM,0.0127,1.0,FDM,Not Avail from this date,,1.0,3.0,,,,,,,,,,,
=A38-7,Link,0.0,0.0,Range,1.0,FDM,0.0082,1.0,FDM,Not Avail from this date,,4.0,2.0,,,,,,,,,,,
=A39-7,Link,0.0,1.0,Up,1.0,W,0.0333,1.0,M,Not Avail from this date,,3.0,5.0,,,,,,,,,,,
=A40-7,,,,,,,,,,,,,,,,,,,,,,,,
