tab,cell,row_date,url
Weekends Move,B2,2025-08-16 00:00:00,https://www.tradingview.com/x/pcXmwQVU/
Weekends Move,B3,2025-08-09 00:00:00,https://www.tradingview.com/x/crcPAIZ2/
Weekends Move,B4,2025-08-02 00:00:00,https://www.tradingview.com/x/B3Uya4sb/
Weekends Move,B5,2025-07-26 00:00:00,https://www.tradingview.com/x/at1uqX9j/
Weekends Move,B6,2025-07-19 00:00:00,https://www.tradingview.com/x/vlxkxI2W/
Weekends Move,B7,2025-07-12 00:00:00,https://www.tradingview.com/x/4Z4sSi6A/
Weekends Move,B8,2025-07-05 00:00:00,https://www.tradingview.com/x/poT6qB2a/
Weekends Move,B9,2025-06-28 00:00:00,https://www.tradingview.com/x/bcc9TgrH/
Weekends Move,B10,2025-06-21 00:00:00,https://www.tradingview.com/x/yASdDtk1/
Weekends Move,B11,2025-06-14 00:00:00,https://www.tradingview.com/x/1ryFu1T2/
Weekends Move,B12,2025-06-09 00:00:00,https://www.tradingview.com/x/L5CRNzGn/
Weekends Move,B13,2025-05-31 00:00:00,https://www.tradingview.com/x/tvxi3HwE/
Weekends Move,B14,2025-05-24 00:00:00,https://www.tradingview.com/x/ammVezVp/
Weekends Move,B15,2025-05-17 00:00:00,https://www.tradingview.com/x/Hoc6uItf/
Weekends Move,B16,2025-05-10 00:00:00,https://www.tradingview.com/x/dWzntYDg/
Weekends Move,B17,2025-05-03 00:00:00,https://www.tradingview.com/x/NEL6Dcjs/
Weekends Move,B18,2023-06-05 00:00:00,https://www.tradingview.com/x/Q7B6TUwX/
Weekends Move,B19,29/04/2023,https://www.tradingview.com/x/rqKeCLmI/
Weekends Move,B20,22/04/2023,https://www.tradingview.com/x/mDlUTSUD/
Weekends Move,B21,15/04/2023,https://www.tradingview.com/x/aujKYPGG/
Weekends Move,B22,2023-08-04 00:00:00,https://www.tradingview.com/x/X61lnlD7/
Weekends Move,B23,2023-04-01 00:00:00,https://www.tradingview.com/x/i7xIkCYl/
Weekends Move,B24,=A23-7,https://www.tradingview.com/x/tenqFfIZ/
Weekends Move,B25,=A24-7,https://www.tradingview.com/x/ERVgzTC7/
Weekends Move,B26,=A25-7,https://www.tradingview.com/x/KuvXMDt9/
Weekends Move,B27,=A26-7,https://www.tradingview.com/x/RjBGO1Sn/
Weekends Move,B28,=A27-7,https://www.tradingview.com/x/xY50NsI7/
Weekends Move,B29,=A28-7,https://www.tradingview.com/x/A1mSw9lP/
Weekends Move,B30,=A29-7,https://www.tradingview.com/x/0iKeRdQG/
Weekends Move,B31,=A30-7,https://www.tradingview.com/x/84WoRrbN/
Weekends Move,B32,=A31-7,https://www.tradingview.com/x/QMAmH8NW/
Weekends Move,B33,=A32-7,https://www.tradingview.com/x/eM2zeZuJ/
Weekends Move,B34,=A33-7,https://www.tradingview.com/x/9TmAlJNL/
Weekends Move,B35,=A34-7,https://www.tradingview.com/x/CFkSyo2T/
Weekends Move,B36,=A35-7,https://www.tradingview.com/x/1IAFBjjs/
Weekends Move,B37,=A36-7,https://www.tradingview.com/x/5xOTCvwy/
Weekends Move,B38,=A37-7,https://www.tradingview.com/x/b4aR2TxN/
Weekends Move,B39,=A38-7,https://www.tradingview.com/x/woNDAAyh/
News Events,J86,2023-08-03 00:00:00,https://www.tradingview.com/x/hNhHSVcM/
News Events,J91,2023-07-02 00:00:00,https://www.tradingview.com/x/xlPKSjLR/
BTC Cycles,E3,Bull Market Narratives,https://docs.google.com/document/d/1yr_eL-ETNnrLMjFvy85FpmtvZld9GkGmBHio_Kizw4w/edit
